A&AS,advisory and assistance services
S-H,staff hour
SH0 SEC,shipment sector
SHA,system hazard analysis
SHA,secure hash algorithm
SHAPE,supreme headquarters allied power europe
SHAPEC,ship availability planning and engineeringcenter
SHAPM,ship acquisition project manager 
SHDS,safety and health data sheet
SHF,super high frequency
SHIP,single hazardous input program
SHM,safety and health manager
SHM,structural health monitoring
SHO,shipment
SHORAD,short range air defense
SHORTICQ,system of internal control
SHP,shaft horsepower
SHPO,state historic preservation officer
SHPRT,special handling problem resolution team
SHSA,self help support agreement
S-HTTP,secure hypertext transfer protocol
Si,software item
Si,silicon
Si,shipping instruction
Si,special item code
SI/DE,system interface/data exchange
SIA,semiconductor industry association
SIAP,standard instrument approach procedure
SIAP,single integrated air picture
SIB,safety investigation board
SiC,suspected irregular conduct
SiC,silicon carbide
SiC,standard industrial classification
SiC,standard industrial code
SiC,standard industrial classification code
SICA,secondary inventory control activity
SICBM,small intercontinental ballistic missile
SICC,service item control center
SICM,system for integrated contract management
SICPS,standardized integrated command post system
SICR,selected item configuration record
SID,specification interpretation document
SID,society for information display
SIDN,selected item description number description
SIDR,secure intelligence data repository
SIE,standard improvement executive
SIE,special inspection equipment
SIF,selective identification feature
SIF,security information file
SIF,simulation information format
SIG,special interest group
SIGINT,signal intelligence
SIGSEC,signal security
SII,special investigative inquiry
SIIG,security insight and insight group
SIIG,security issue and insight group
SIK,subsistence in kind
SIL,system integration laboratory
SIM,shore infrastructure modernization
SIMA,ship intermediate maintenance activity
SIMA,system integration and management activity
SIMAF,simulation and analysis facility
SimCert,simulator certification
SIMCORE,simulation common object repository &environment
SIMO,system integration management office
SIMPAC,simplified procurement acquisition 
SIMS,services information management system
SIMVAL,simulator validation
SIN,special item number
SINCGARS,single-channel ground and airborne radio system
SiNI,silicon nitride
SI-NSN,support item national stock number
SiO2,silica
SIOATH,source identification and ordering authorization
SIOH,"supervision, inspection, and overhead"
SIOM,software input/output manual
SIOP,single integrated operation plan
SIOP,single integrated operational plan
SIP,software installation plan
SIP,self-inspection program
SIP,system improvement plan
SIPR,selected item program review
SIPRI,stockholm international peace research institute
SIPRNet,secret internet protocol router network
SIPT,supportability integrated product team
SIPT,standard installation practice training
SIPTO,standard installation practices technical order
SIR,standardization interface record
SIR,standard interface record
SIR,special inspection requirement
SIR,standard interface requirement
SIR,savings/investment ratio
SIRS,specification/standard interface record
SIRS,secondary item requirement systemâ  
SIS,synopsis information system
SISA,science and infrastructure support analysis
SISMA,streamlined integrated software metric approach
SISMS,standard integrated support management system
SISP,single integrated space picture
SISS,subcommittee for information system security
SIST,serviceable in service time
SISWG,system integration software working group
SIT,system integration test
SIT,system integration team
SITREP,situation report
SITW,state income tax withholding
SJ,sack jacket
SJA,staff judge advocate
SKE,station keeping equipment
SKL,simple key loader
SKO,"sets, kits, and outfit"
SKT,specialty knowledge test
SL,strategic list
SL,shelf life
SL,support level
SL,safety level
SLA,service level agreement
SLA,support level agreement
SLAC,shelf life action code
SLAD,survivability/lethality analysis directorate
SLAM,standoff land attack missile
SLAR,side-looking airborne radar
SLAT,supersonic low altitude target
SLCO,senior laboratory contracting official
SLCSE,software life cycle support environment
SLED,surface-emitting led
SLEP,service life extension program
SLF,super low frequency
SLFA,secondary level field activity
SLGR,small lightweight gps receiver
SLI,strategic list item
SLIM,software life cycle model
SLIM,software lifecycle integrity management
SLIN,standard line item number
SLIN,subline item number
SLIP,serial line internet protocol
SLM,surface launch
SLMC,senior leader materiel course
SLOE,special list of equipment
SLPP,summary level planning package
SLRS,slrs = space lift range system
SLRSC,space lift range system contract
SLS,space launch squadron
SLS,school of logistic science
SLT,system level test
SLUC,standard level user charge
SLV,survivability/lethality/vulnerability
SM,system monitor
SM,single manager
SM,system manager
SM,subcontracting management
SM,supply management
SM 2,standard missile ii
SM ALC,sacramento air logistic command
SM NCO,strength maintenance nco
SM-2,standard missile 2
SMA,sergeant major academy
SMA,standardization management activity
SMA,subject matter area
SMA,"supply management, army"
SMAG,supply management activity group
SM-ALC,sacramento air logistic centers
SMAP,security management application program
SMART,system management analysis &amp; reporting tool
SMART-T,secure mobile anti jam reliable tactical terminal
SMAS,standard materiel accounting system
SMAW,shoulder launched multi purpose assault weapon
SMBA,supply management business area
SMC,system management code
SMC,standard management committee
SMC,sheet molding compound
SMC,space and missile center
SMC,space and missile systems center
SMCA,single manager for conventional ammunition
SMCC,special material content code
SMD,standardized military drawing program
SMDL,standard music description language
SMDR,station message detail record
SME,subject matter expert
SMES,superconducting magnetic energy storage
SMGC,selective management grouping code
SMGC,supply management grouping code
SMI,soldier-machine interface 
SMI,soldier machine interface
SMIB,security management information base
SMIC,special maintenance item code
SMIC,special material identification code
SMIP,spares management improvement program
SML,support material list
SMM,system maturity matrix
SMM,solar maximum mission
SMMP,system manprint management plan
SMO,senior management official
SMP,software maintenance plan
SMP,sustained maintenance planning
SMPT,school of military packaging technology
SMR,source maintenance requirement
SMR,source maintenance and recoverability
SMRC,still media records center
SMS,school of management sciences
SMS,single mobility system
SMS,stores management system
SMSL,standard multimedia scripting language
SMSR,survivability management status report
SMT,surface mount technology
SMT,station management
SMT,shelter management team
SMT,special maintenance teams
SMTA,subordinate message transfer agent
SMTBCF,space mission time between critical failure
SMTBDE,space mean time between downing event
SMTP,simple mail transfer protocol
SMTS,space and missile tracking system
SMTTRF,space mean time to restore function
SMTTRS,space mean time to restore system
SMXS,software maintenance squadron
SN,serial number
SN,solution narrative
SNAFU,situation normal; all fouled up
SNAFU,"see also:  fubar, tarfu"
SNAP,simplified nonstandard acquisition program
SNAP,standard non tactical automated data processing
SNAP,simplified nonstandard acquisition process
SNAP III,shipboard non technical adp program iii
SNDM,secretary of the navy decision memorandum
SNIE,special national intelligence estimates
SNM,special nuclear material
SNMP,simple network management protocol
SNR,signal to noise ratio
SNR,senior national representative
SNR,signal-to-noise ratio
SNSL,stock number sequence list
SNSP,saudi naval support program
SNUD,stock number user directory
SNUD,stock number user's directory 
SNX,symbolic nike x
SO,special operation
SO/LIC,special operations/low intensity conflict
SO2,sulfur dioxide
SOA,state of art
SOA,school of the americas
SOA,statement of account
SOA,separate operating agency
SOA,safe operating area
SOA,service oriented architectureâ  
SOAB,special operation acquisition board
SOAC,special operation acquisition centers
SOAE,special operation acquisition executive
SOC,special operations command
SOC,servicemen's opportunity colleges
SOC,supply operation cost
SOCC,sector operation control center
SOCET,special operation cost estimate tool
SOCI,senior official of the intelligence community
SOCOM,united states special operations command
SOD,secretary of defense
SOEOD,special operation eod
SOEW,senior officers' seminar â
SOF,special operations forces
SOF,support operations forces
SOF,supervisor of flying
SOF,safety of flight
SOFARS,special operations command far supplement
SOFLAM,special operation force laser marker
SOI,signal of interest
SOI,space object identification
SOI,statement of intent
SOIC,senior officials of the intelligence community
SOJ,standoff jamming
SOJT,structured on-the-job training
SOL,separate operating location
SOLA,so legislative affair
SOLE,society of logistic engineer
SOLIC,special operations/low-intensity conflict
SON,submitting office number
SON,statement of need
SON,statement of operational need 
SONET,synchronous optical network
SOO,statement of objectives
SOO/SOW,statement of objectives/statement of work
SOP,standing/standard operating procedure
SOP,standard operating procedure
SOPG,system operation protection guide
SOPI,status of planning indicator
SOR,statement of reason
SOR,source of repair
SORAP,source of repair assignment process
SORAP,source of repair analysis process
SORDC,source of repair decision criteria
SORT,status of resource and training
SORTS,status of resources and training system
SOS,supportability on line system
SOS,squadron officers school
SOS,source of supply
SOS,system of systems
SOS,sale opportunity service inc.
SOSAP,source of supply assignment process
SOSC,system operation and support capability
SOT,ship operability testing
SOT,ship operability test
SOT,system operability test
SOT,subsystem or technology
SOUTHCOM,southern command
SOW,statement of work
SOW,scope of work
SOW/SOO,statement of work/statement of objective
SP,security police
SPADOC,space defense operations center
SPAG,strategic planning advisory group
SPAN,security policy automated network
SPAN,security policy automation network
SPAR,security police administration and report
SPAS,skill performance aid
SPAS,security police automated system
SPAT,software process action team
SPAW,self propelled artillery weapon
SPAWAR,space and naval warfare systems command
SPAWARSYSCOM,space and naval warfare system command
SPBP,spare parts breakout program
SPC,small purchase checklist
SPC,storm prediction center
SPC,strategy and planning committee
SPC,software productivity consortium
SPC,statistical process control
SPCA,security policy compliance assessment
SPCC,ships parts control center 
SPCC,"spill prevention, control, and countermeasure"
SPD,system program director 
SPD,separation program designator
SPD,system performance document
SPD,system program director
SPD,system program directorate
SPDL,standard page description language
SPE,software product evaluation
SPE,senior procurement executive
SPEC,space environmental compatibility
SPEC,specification
SPECAT,special category
SPECTRA,special courses and training
SPEDE,samms procurement by electronic data exchange
SPEDI,small procurement electronic data interchange
SPF,single point failure
SPG,system product group
SPG,scientific planning group
SP-HIS,special project hypermedia information system
SPI,single process initiative
SPI,special investigations
SPI,supporting program integrator
SPI,schedule performance index
SPI,special packaging instruction
SPI,software process improvement
SPI,special promotional item
SPI,subcontract program integrator
SPI-IS,spi information sheet
SPIL,signal processing in the loop
SPINE,shared program information network
SPINTCOMM,special intelligence communication
SPIP,software process improvement plan
SPM,service program manager
SPM,software programmer's manual
SPM,system program manager
SPM,suggestion program manager
SPMN,software program managers network
SPMS,software process and management system
SPN,shipment performance notice
SPO,system project office
SPO,system program officer
SPO,system program office
SPOC,single point of contact
SPOD,surface point of debarkation
SPOD,sea port of debarkation
SPOD,surface 
SPP,standard practice procedure
SPR,sponsor's program review 
SPR,secretarial program review 
SPR,secretarial performance review
SPR,special program requirement
SPR,system performance report
SPR,software problem report
SPR,special process review
SPR,single point refueling
S-PR,secret periodic reinvestigation
SPRG,special programs review group
SPRG,special access program review group
SPS,statement of prior submission
SPS,spectrum planning subcommittee
SPS,software product specification
SPS,standard procurement system
SPST,supporting program support team member
SPTD,supplementary ptd
SPU,signal processing unit
SPU,signal processor unit
SPV,subsistence prime vendor
SPV,special purpose vehicle
SPVI,subsistence prime vendor interface
SPWS,shipment planning work sheet
SQA,supplier quality assurance
SQA,software quality assurance
SQAP,software qa plan
SQAR,supervisory quality assurance representative
SQAS,supervisory quality assurance specialist
SQC,statistical quality control
SQDN,squadron
SQE,software quality evaluation
SQEP,software quality evaluation plan
SQI,statement of questioned item
SQL,structured query language
SQL,software query language
SQL,standard query language
SQM,software quality maturity
SQM,software quality management
SQPP,software quality program plan
SQR,sequel report
SQT,software qualification testing
SR,specialized english training required
SR,space reliability
SR,service report
SRA,shop replaceable assembly
SRA,system requirement
SRA,solicitation review authority
SRA,specialized repair activity
SRA,system requirements analysis
SRA,senior airman
SRA,sub-registration authority
SRAM,short range attack missile
SRAN,stock record account number
SRB,solicitation review board
SRB,safety review board
SRB,selective reenlistment bonus
SRC,standard requirement code
SRC,source reference code
SRC,survival recovery center
SRD,surplus release date
SRD,systems requirement document
SRD,system requirements document
SRD,standard reporting designator
SRDR,software resources data report
SRDRS,submarine rescue diving and recompression system
SRE,software risk evaluation
SREMP,source region electromagnetic pulse
SRF,summary reference file
SRF,service response force
SRF,ship repair facility
SRG,survivability review group
SRI,software reuse initiative
SRID,senior ratter identification number
SRIP,selected reserve incentive program
SRME,sustainment restoration modernization enterprise
SRMU,solid rocket motor upgrade
SRO,system readiness objective
SRO,strategic research objective
SRO,service relief organization
SRO,standing route order
SROTC,senior reserve officers' training corp
SRP,standard repair procedure
SRP,security review panel
SRR,system requirements review
SRR,"scrap, rework and repair"
SRR,shipment request register
SRR,"survival, recovery, and reconstitution"
SRRB,software requirement review board
SRRP,software requirements review process
SRS,software requirements specification
SRS,system requirements specification
SRT,security response team
SRU,shop replaceable unit
SRU,subassembly repairable unit
SRU/SRA,shop replaceable unit/shop replaceable assembly
SS,supportability strategy
SS,source selection
SS,start to start
SS,system safety
SS,supply support
SSA,source selection evaluation authority
SSA,software support agency
SSA,special security agreement
SSA,servicing security activity
SSA,system site administrator
SSA,system support activity
SSA,source selection authority
SSA,software support activity
SSA,supply support arrangement
SSA,social security administration
SSAA,system security authorization agreement
SSAC,source selection advisory committee
SSAC,source selection advisory council
SSAF,standard single account file
SSAN,social security account number
SSAT,subscale aerial target
SSB,special separation benefit
SSB,source selection board
SSBI,single scope background investigation
SSBO,system support buy out
SSC,system security concept
SSC,standard system center
SSC,strategic systems committee
SSC,standard systems center
SSC,shop service center
SSC,smaller scale contingency
SSC,system sales case/supply status code
SSCAG,space system cost analysis group
SSCI,senate select committee on intelligence
SSCM,small satellite cost model
SSCN,secure survivable communication network
SSCO,shipper service control office
SSCOM,soldier system command
SSDAR,self service data access request
SSDC,space and strategic defense command
SSDD,system/segment design document
SSDD,system/subsystem design document
SSDD,source selection decision document
SSDP,standard source data package
SSDR,system safety domain report
SSDS,ship self defense system
SSE,source selection evaluation
SSE,simulation support environment
SSE,system security engineer
SSEA,system safety engineering analysis
SSEB,source selection evaluation board
SSEB/T,source selection evaluation boards/team
SSEC,subsystem essentiality code
SSEE,ship signal exploitation equipment
SSEG,source selection evaluation guide
SSEM,system security engineering management
SSEM,system security engineering manager
SSEO,source selection executive officer
SSEP,system security engineering program
SSES,subsystem software evaluation station
SSET,source selection evaluation team
SSF,special security file
SSG,special study group 
SSG,standard systems group
SSG,special study group
SSG,system safety group
SSGLI,supplemental coverage
SSHA,subsystem hazard analysis
SSHA,system safety hazard analysis
SSI,small scale integrated circuit
SSIPT,supply support integrated process team
SSIR,supply system inventory report
SSJ,sole source justification
SSL,secure socket layers
SSM,system support manager
SSM,system safety manager
SSM,space safety manager
SSM,standard system model
SSM,spacelift status manager
SSM,system safety management course
SSM,support system manager
SSMP,system security management plan
SSMP,system safety management plan
SSN,space surveillance network
SSN,social security number
SSN,standard study number
SSO,system security officer
SSO,special security office or officer
SSO,special staff office
SSO,special security offices
SSO,source selection officer/organization
SSO,space safety officers
SSO/RFPSO,source selection office/rfp support organization
SSOI,summary statement of intent
SSP,source selection plan
SSP,single stock point
SSP,system security plan
SSP,system support package
SSP,supply support plan
SSP,system safety program
SSP,strategic system program
SSPC,system safety program coordinator
SSPM,system safety program manager
SSPM,software standards and procedures manual
SSPP,system safety program plan
SSQ,special skills qualification
SSR,supply support request
SSR,system specification review
SSR,system status review
SSR,software specification review
SSRA,system safety risk assessment
SSRP,software support requirements package
SSRT,single-stage rocket technology
SSS,staff summary sheet
SSS,signature security service
SSS,system/segment specification
SSS,space system subfile
SSS,system/subsystem specification
SSSC,special stock control systemâ  
SSSC,self service supply center
SSSG,space system support group
SSSG,space systems support group
SST,source selection team
SST,site survey team
SST,sere specialist training
SST,supplemental site test
SST,software support tool
SST,supervisor safety training
SSTD JPO,surface ship torpedo defense joint project office
SSV,soldier survivability
SSWG,system security working group
SSWG,security working group
SSWG,system safety working group
ST,standby time
ST,screening technician
ST,special tooling
ST&E,security test and evaluation
ST/STE,special tooling/special test equipment
STA,security threat analysis
STA,student training advisor
STA,system threat assessment
STACCS,standard theater army command and control system
STAM,standard tool for aeronautical maintenance
STAMIS,standard army management information system
Stan Eval,standardization evaluation
STANAG,standard of agreement
STAR,system threat analysis report
STAR,span time of acquisition reduction
STAR,standard accounting reporting system
STAR,system threat assessment report
STARPUBS,standard army publication systems
STARS,software technology for adaptable reliable system
STARS,standard accounting and reporting system 
STARS,strategic target system
STAR-T,shf tri band advanced range extension terminal
STARTEPS,standard army technician payroll system
STC,shape technical center
STC,supplemental type certificate
STC,software technology conference
STC,space technology center
STD,standard
STD,software test document
STD,state transition diagram
STD,software test description
STD,shoot them down
STE,special test equipment
STE,software test environment
STEP,software test and evaluation panel
STEP,special training equipment program
STEP,"simulation, test and evaluation process"
STEP,structured test and evaluation process
STEP,standard for the exchange of product model data
STEP,standardization evaluation program
STEP,stripes for exceptional performers
STF,special task force
STF/SSG,special task force/special study group
STG,standard division
STH,selective transaction history
STI,scientific and technical information
STID,standard identification
STIG,space technology interdependency group
STIL,streak tube imaging lidar
STILAS,s&t info library automated system
STINFO,scientific/technical information
STL,standardized training listing
STLDD,software top-level design document
STM,scanning tunneling microscope
STO,science and technology objectives
STO,system threat objective
STOA,security trade off analysis
STOL,short takeoff and landing
STOU,store unique
STOW,synthetic theater of war
STP,structured test procedure
STP,specialized training package
STP,system training plan
STP,standard training package
STP,software test plan
STP,software test procedure
STP,system training program
STP,system test plan
STP,software through pictures
STPR,software test procedures
STR,software test report
STR,student training requirement
STR,software trouble report
STRADS,strategic deployment system
STRAMS-E,student/trainee management system -- enlisted
STRAPP,standard tank racks adapters and pylons package
STRAPP,standard air munitions package
STRATCOM,strategic command
STRC,science and technology requirement committees
STRICOM,"simulation, training, and instrumentation command"
STS,scheduled truck service
STS,stockpile-to-target sequence
STS,specialty training standard
STS,standardized teleoperation system
STS,special tactics squadron
STSC,software technology support center
STT,strategy to task
STTE,special tool and test equipment
STTR,small business technology transfer
STU,secure telephone unit
STWG,science and technology working group
SU,sustainability
SUAWACS,soviet union airborne warning and control system
SUB BASE,submarine base
SUBSAFE,submarine safety
SUM,software user's manual
SUNT,specialized undergraduate navigator training
SUO,small unit operation
SUPO,supply officer 
SUPPAD,supplementary address
SUPPAD,supplemental address
SUPSHIP,"supervisor of shipbuilding, conversion and repair"
SUPT,specialized undergraduate pilot training
SURF,standard uniform retrieval format
SURS,surveillance system
SUS,single unix specification
SUS,software unit specification
SUS SEC,suspended sector
SUT,system under test
SV,service
SV,security escort vehicle service
SV,survivability
SV,schedule variance
SVA,security vulnerability analysis
SVD,software version description
SVFR,special visual flight rules
SVGA,super video graphic adapter
SVGA,super video graphic array
SVHS,super video home system
SVI,single vendor integrity
SVM,system verification manager
SVR,shop visit rate
SVR,system verification review
svro,secure voice reporting official
SVV,system vulnerability value
SVVP,software verification and validation plan
SW/CMM,software capability maturity model
SWA,southwest asia
SWaP,"size, weight, and power"
SWAT,small warhead armament technology
SWAT,strategic workforce action team
SWAT,software assessment team
SWCI,software configuration item
SWDG,surface warfare development group
SWG,sub working group
SWIL,software in the loop
SWIS,stores/weight/and inertia system
SWMO,smart weapon management office
SWMP,solid waste management plan
SWO,staff weather officer
SWOG,special weapon overflight guide
SWS,strategic weapon system
SWSC,space and warning system centers
SYDP,six year defense program
SYERS,senior year electro optical reconnaissance system
SYND,system and procedure directorate
SYSCOM,systems command 
SYSCOM,systems command
SYSTO,systems officer 
T&A,time and attendance
T&E,test and evaluation
T&M,time and material
T&M LH,time & material labor hours
T&P,transportation and packaging
T.O.,technical order 
T/R,transmit/receive
T/TD,trainer/training developer
T/V,threat/vulnerability
T2IWG,teamed test integration working group
T4C,termination for convenience
T4D,termination for default
TA,total assessment
TA,type assistance
TA,table of allowances
TA,technical architecture
TA,target acquisition
TA ATD,target acquisition atd
TA&CP,technology assessment and control plan
TA&CP,dodiis
TA/CP,technology assessment/control plan
TAA,total actual authority
TAA,total army analysis
TAACOM,tank automotive and armament command
TAADS,the army authorization document system
TAADS-R,the army authorization document system redesign
TAAF,"test, analyze and fix"
TAAS,time and attendance system
TAB,technical advisory board
TAB,total allocated budget
TABBS,theater allocation buy budget system
TAC,transportation account code
TAC,type of activity code
TAC,type of address code
TAC,terminal access controller
TAC,tactical advanced computer
TAC,tactical air command
TACAIR,tactical aircraft
TACAMO,take charge and move out
TACAN,tactical communications and navigation
TACAN,tactical air navigation
TACC,tanker airlift control center
TACFIRE,tactical fire direction system
TACM,tactical missiles
TACOM,tank automotive & armaments command
TACON,tactical control
TACOS,test and checkout satellites
TACP,tactical air control party
TACP,theater ammunition control point
TACP,technical analysis of cost proposal
TACS,theater air control system
TACSAO,tactical air command security assistance office
TACSIM,tactical simulation
TACT,total audit concept technique
TAD,technology area descriptions
TAD,temporary additional duty
TAD,target audience description
TADIL,tactical digital information link
TADIL,tactical data information link
TADIL-B,tactical data information link b
TADSS,"training aids, devices, simulator and simulation"
TAEDP,total army equipment distribution program
TAF,test aviation fuels
TAF,tactical air forces
TAF,transatmospheric fighter
TAFDS,tactical airfield fuel dispensing system
TAFT,technical assistance field team
TAG,transformation action group
TAG,technical advisory group
TAG,transportation activity group
TAG,the adjutant general
TAG,training advisory group
TAI,total aircraft inventory
TAI,total active inventory
TAIG,test and analysis integration group
TAL,task assignment list
TALA,takeoff and landing area 
TALCC,tanker airlift control center
TALCE,tanker airlift control element
TALCE,tactical airlift control element
TALCE,theater airlift control element
TAM,transportation acquisition manual
TAM,tivoli access manager
TAMMC,theater army material management center
TAMP,tactical air missile program
TAMPS,tactical mission planning system
TAMPS,tactical aircraft mission planning system
TAMPS,tactical automated mission planning system
TAMR,telecommunication assessment monitoring report
TAMS,termination automated management system
TAMSCO,technical and management service corporation
TANDEM,the charleston main frame
TAOC,tactical air operation centers
TAOM,tactical air operations module
TAP,team acquisition process
TAP,the army plan
TAPAT,technology application process action team
TAPC-PLM,total army personnel command
TAPDB,total army personnel data base
TAPES,total army personnel evaluation system
TAPM,technology application program management
TAPR,training activity program/report
TAR,test analysis report
TAR,tracer action required
TAR,threat assessment report
TAR,test accuracy ratio
TARA,technology area review and assessment
TARA,technology assessment/requirement analysis
TARFU,"see also:  snafu, fubar"
TARFU,things are really fouled up
TAS,table of authorized strength
TAS,tool accountability system
TAS,train alert shelter
TASA,television audio support activity
TASC,the analytic science corporation
TASG,technical architecture steering group
TASK,turnaround spare kit
TASO,terminal area security officer
TASO,terminal area security manager
TASR,telecommunication assessment survey report
TASS,total army school system
TASSET,total asset
TAT,technical assistance team
TAT,turn around time
TAV,total asset visibility
TAWDS,tactical automated weather distribution system
TAWG,threat assessment working group
TAWS,terrain awareness warning system
TB,technical bulletin
TBA,to be announced
TBC,test benefit to cost ratio
TBC,transportation bill code
TBCC,transfer between cost centers
TBD,to be determined/developed
TBIM,trigger based item management
TBIP,tomahawk baseline improvement program
TBM,theater ballistic missile
TBMCS,theater battle management core system
TBO,transaction by others
TBPDD,technology base project definition document
TBQ,taxonomy-based questionnaire
TBS,task breakdown structure
TBSR,total business system review 
TC,target complete
TC,type classification
TC,team center
TC,type certificate
TCA,traditional cinc activities
TCAC,technical control and analysis center system
TCAM,threat condition alerting message
TCAS,traffic alert and collision avoidance system
TCATA,tradoc combined arms test activity
TCB,trusted computer base
TCB,trusted computing base
TCC,transportation control center
TCC,telecommunication centers
TCCS,tomahawk command and control subsystem
TCCS,ticket consignment control sheet
TCE,thermal coefficient of expansion
TCF,test control facility
TCF,technical control facility
TCG,technical coordination group
TCI,time change item
TCI,total cost input
TCM,technical coordination meeting
TCM,technical content manager
TCMD,transportation control and movement document
TCMP,test capability master plan
TCN,transportation control number
TCO,technical contracting officer
TCO,termination contracting officer
TCP/IP,transmission control protocol/internet protocol
TCPI,to complete performance index
TCRMS,type commander readiness management system
TCS,technical customer support
TCS,troop care status
TCS,telecommunication specialist
TCS,tactical control system
TCSC,technological cooperation subcommittee
TCSDB,tri-service champus statistical data base
TCSEC,trusted computer system evaluation criteria
TCT,total contract training
TCT,total contractor training
TCT,total contracting training
TCTO,time compliance technical order
TCU,transportation control unit
TcUA,team center unified architecture
TD,temperature datum
TD,training detachment
TD,technology demonstration
TD,technical data
TD,target detector
TD,test directive
TD,training device
TD,test director
TD,training developer
TD,treasury department
TD,test description
TD/CMS,technical data/configuration management system
TD/MOT,test directive/method of test
TDA,tables of distribution and allowances
TDA,table of distribution and allowances
TDA,transportation documentation and audit regulation
TDA,tactical decision aids
TDAP,technology development and acquisition program
TDC,theatre deployable communications
TDCC,transportation data coordinating committee
TDD,time definite delivery
TDE,test design engineer
TDI,toluene di isocyanate
TDI,tamper detection indicator
TDI,trusted database interpretation
TDI,target data inventory
TDL,tactical data link
TDL,technical data library
TDM,termination decision model
TDM,time-division multiplexing
TDMA,time division multiple access
TDMP,technical data management program
TDP,test design plan
TDP,technical data package
TD-PDM,td-pdm-technical dataâ  product data management
TDPFO,temporary duty pending further order
TDPL,technical data package list
TDPM,training device program manager
TDR,training device requirement
TDR,teardown deficiency report
TDR,transportation discrepancy report
TDR,test data report
TDR,teardown report
TDS,time distribution system
TDS,technology development strategy
TDSB,test data scoring board
TDSS,"training devices, simulator and simulation"
TDT,theater display terminal
TEA,training effectiveness assessment
TEA,transportability engineering analysis
TEA,test environmental assessment
TEAS,"technical, engineering and acquisition support"
TEB,technical evaluation board
TEC,test and evaluation center
TECDOC,technical documentation
TECG,test and evaluation coordination group
Tech Rep,technical representative
TECHEVAL,technical evaluation
TECHMOD,technology modernization
TECNET,test and evaluation computer network
TECO,test and evaluation coordination office
TECOM,test and evaluation command 
TED,transfer effective date
TED,threat environment description
TEED,to end encryption device
TEEM,test and evaluation estimating model
TEEM,test and evaluation estimation model
TEEP,training effectiveness evaluation plan
TEEVAL,tactic and engagement evaluator
TEFRA,tax equity and fiscal responsibility act
TEG,tactical exploitation group
TEG,test and evaluation group
TEIN,test & evaluation identification number
TELINT,telemetry from missile test
TELNET,telecommunication network
TEM,transportability engineering management
TEM,technical exchange meeting
TEM,terrain evaluation module
TEMA,tanned management agency
TEMA,test and evaluation management agency
TEMAC,test and evaluation manager committee
TEMC,transportation equipment management center
TEMOD,test equipment modernization
TEMP,test and evaluation master plan
TEMP,transportability engineering management program
TEMPER,"tent, extendable, modular, personnel"
TEMPS,test and evaluation master plan
TEMS,test and evaluation mission simulator
TEMSE,technical and managerial support environment
TEO,technology executive officer
TEP,theater engagement plan
TEP,technical evaluation program
TEP,test and evaluation plan
TEPV,total estimated program value
TER,triple ejector rack
TER,test and evaluation report
TERCOM,terrain contour matching
TEREC,tactical electronic reconnaissance
TERIB,tandem reliance and investment board
TERIB,test and evaluation resource and investment board
TERIB,tanned resource investment board
TERP,technical evaluation review panel
TES,technical expert status
TES,tactical exploitation system
TES,test and evaluation support
TESTFACS,test facilities register 
TESTREP,test representatives
TEWS,tactical electronic warfare support
TEX,transaction exception code
TEXCOM,test and experimentation command
TEZ,titan enterprise zone
TF,terrain following
TF/TA,terrain following/terrain avoidance
TF/TJ,turbofan/turbojet 
TFA,transparent file access
TFA,trust fund account
TFA,toxic free area
TFCS,treasury financial communication system
TFCUS,transportable field calibration unit
TFE,transportation feasibility estimator 
TFG,terminal facilities guide
TFM,trusted facility manual
TFM,tactical formation maneuvering
TFM,treasury financial manual
TFO,transaction for other
TFO,trainer fabrication organization
TFOM,testability figure of measure
TFP,training focal point
TFR,total final reporting
TFR,trouble and failure report
TFR,terrain following radar
TFRD,tape format requirement document
TFRD,test facilities requirement document
TFT,technical feasibility test
TFT,technologically feasible threat
TFT,tactical field terminal
TFWC,tactical fighter weapon centers
TGA,thermal gravimetric analysis
TGBL,through government bill of lading
TGF,trisonic gasdynamics facility
TGTM,transportability guidance technical manual
THA,test hazard analysis
THA,threat hazard analysis
THAAD,theater high altitude area defense
THAR,test hazard assessment review
THAR,test hazard analysis review
THEL,tactical high-energy laser
THF,tremendously high frequency
THMT,through hole mounting technology
THREATCONS,terrorist threat condition
THT,tracking head trainer
TI,texas instrument
TI,technical information
TI,titanium alloy
TI,test incident
TI,titanium
TI,technology insertion
TIARA,tactical intelligence and related activities
TIBR,truly integrated baseline review
TIBS,tactical information broadcast system
TIC,total item change
TIC,test investment committee
TIC,targeted industry category
TIC,technical integration center
TIC,test infrastructure council
TIC,toxic industrial chemical
TICARRS,tactical interim cams and remis reporting system
TID,test introduction document
TIDES,training impact decision system
TIDP,technical interface design plan
TIDP-TE,technical interface design plan test edition
TIE,times interest earned
TIF,technical information files
TIFF,tagged image file format
TIFF,tagged information file
TIFS,total in flight simulator
TIG,transformation initiatives group
TIG,the inspector general
TIGDL,tactical interoperable ground data link
TII,total inactive inventory
TILO,technical and industrial liaison office
TIM,toxic industrial material
TIM,technical interchange meeting
TIM,technical interface meeting
TIMP,test investment master plan
TIMS,training integration management system
TINA,truth in negotiation act
TIP,tactical integration plan
TIPP,test investment plan and program
TIPP,test investment planning and programming
TIPP,test investment planning process
TIPT,transition ipt
TIR,test incident report
TIR,total item record
TIREM,terrain integrated rough earth model
TIS,test instruction sheet
TIS,test investment strategy
